"Año","Actividad","Sector","Tipo de precios","Código Departamento (DIVIPOLA)","Departamento","Valor (miles de millones de pesos)"
"2,005","Construcción","Secundario","PIB a precios corrientes","97","Vaupés","2.28"
"2,005","Construcción","Secundario","PIB a precios corrientes","99","Vichada","10.23"
"2,013","Información y comunicaciones","Terciario","PIB a precios constantes de 2015","15","Boyacá","344.68"
"2,013","Información y comunicaciones","Terciario","PIB a precios constantes de 2015","17","Caldas","361.68"
"2,013","Información y comunicaciones","Terciario","PIB a precios constantes de 2015","18","Caquetá","59.84"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","91","Amazonas","114.17"
"2,013","Información y comunicaciones","Terciario","PIB a precios constantes de 2015","85","Casanare","72.86"
"2,013","Información y comunicaciones","Terciario","PIB a precios constantes de 2015","19","Cauca","154.97"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","5","Antioquia","4,856.14"
"2,013","Información y comunicaciones","Terciario","PIB a precios constantes de 2015","20","Cesar","217.13"
"2,013","Información y comunicaciones","Terciario","PIB a precios constantes de 2015","27","Chocó","36.72"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","81","Arauca","469.03"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","8","Atlántico","280.73"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","11","Bogotá D.C.","11.01"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","13","Bolívar","883.15"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","15","Boyacá","1,815.31"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","17","Caldas","957.79"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","18","Caquetá","397.46"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","85","Casanare","484.76"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","19","Cauca","1,412.28"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","20","Cesar","1,231.86"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","27","Chocó","551.34"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","23","Córdoba","1,281.65"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","25","Cundinamarca","5,589.25"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","94","Guainía","18.21"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","95","Guaviare","155.02"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","41","Huila","1,611.27"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","44","La Guajira","425.99"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","47","Magdalena","1,445.19"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","50","Meta","1,058.31"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","52","Nariño","1,481.29"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","54","Norte de Santander","1,150.89"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","86","Putumayo","193.27"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","63","Quindío","718.47"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","66","Risaralda","677.06"
"2,013","Información y comunicaciones","Terciario","PIB a precios constantes de 2015","23","Córdoba","386.01"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","88","San Andrés, Providencia y Santa Catalina (Archipiélago)","12.27"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","68","Santander","3,021.58"
"2,005","Agricultura, ganadería, caza, silvicultura y pesca","Primario","PIB a precios constantes de 2015","70","Sucre","456.69"
