Año,Actividad,Sector,Tipo de precios,Código Departamento (DIVIPOLA),Departamento,Valor (miles de millones de pesos),Valor_winsorizado,Actividad_abreviada
2005,Construcción,Secundario,PIB a precios corrientes,97,Vaupés,2.28,2.28,Construcción
2005,Construcción,Secundario,PIB a precios corrientes,99,Vichada,10.23,10.23,Construcción
2013,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,15,Boyacá,344.68,344.68,Información y comunicaciones
2013,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,17,Caldas,361.68,361.68,Información y comunicaciones
2013,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,18,Caquetá,59.84,59.84,Información y comunicaciones
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,91,Amazonas,114.17,114.17,Agricultura y pesca
2013,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,85,Casanare,72.86,72.86,Información y comunicaciones
2013,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,19,Cauca,154.97,154.97,Información y comunicaciones
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,5,Antioquia,4856.14,4856.14,Agricultura y pesca
2013,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,20,Cesar,217.13,217.13,Información y comunicaciones
2013,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,27,Chocó,36.72,36.72,Información y comunicaciones
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,81,Arauca,469.03,469.03,Agricultura y pesca
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,8,Atlántico,280.73,280.73,Agricultura y pesca
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,11,Bogotá D.C.,11.01,11.01,Agricultura y pesca
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,13,Bolívar,883.15,883.15,Agricultura y pesca
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,15,Boyacá,1815.31,1815.31,Agricultura y pesca
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,17,Caldas,957.79,957.79,Agricultura y pesca
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,18,Caquetá,397.46,397.46,Agricultura y pesca
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,85,Casanare,484.76,484.76,Agricultura y pesca
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,19,Cauca,1412.28,1412.28,Agricultura y pesca
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,20,Cesar,1231.86,1231.86,Agricultura y pesca
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,27,Chocó,551.34,551.34,Agricultura y pesca
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,23,Córdoba,1281.65,1281.65,Agricultura y pesca
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,25,Cundinamarca,5589.25,5589.25,Agricultura y pesca
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,94,Guainía,18.21,18.21,Agricultura y pesca
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,95,Guaviare,155.02,155.02,Agricultura y pesca
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,41,Huila,1611.27,1611.27,Agricultura y pesca
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,44,La Guajira,425.99,425.99,Agricultura y pesca
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,47,Magdalena,1445.19,1445.19,Agricultura y pesca
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,50,Meta,1058.31,1058.31,Agricultura y pesca
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,52,Nariño,1481.29,1481.29,Agricultura y pesca
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,54,Norte de Santander,1150.89,1150.89,Agricultura y pesca
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,86,Putumayo,193.27,193.27,Agricultura y pesca
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,63,Quindío,718.47,718.47,Agricultura y pesca
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,66,Risaralda,677.06,677.06,Agricultura y pesca
2013,Información y comunicaciones,Terciario,PIB a precios constantes de 2015,23,Córdoba,386.01,386.01,Información y comunicaciones
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",12.27,12.27,Agricultura y pesca
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,68,Santander,3021.58,3021.58,Agricultura y pesca
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,70,Sucre,456.69,456.69,Agricultura y pesca
